Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> stir the paint with a stick . <end>, <start> touillez la peinture a l aide d un baton ! <end>,remue la peinture avec une baton ! 
 <start> i appreciate your trying to protect me . <end>, <start> c est sympa de ta part d essayer de me proteger . <end>,j apprecie que vous essayiez de me proteger . 
" <start> you know what they can do , don t you ? <end>"," <start> tu sais ce dont ils sont capables , n est ce pas ? <end>","tu sais ce dont ils sont capables , n est ce pas ? "
 <start> he s cleaning out his closet . <end>, <start> il nettoie son placard . <end>,il nettoie son placard . 
 <start> i ll call you when i arrive in boston . <end>, <start> je t appellerai quand je serai arrivee a boston . <end>,je t appellerai quand j arriverai a boston . 
 <start> everyone seems to be nervous . <end>, <start> tout le monde semble nerveux . <end>,tout le monde semble etre nerveux . 
 <start> i don t know where it came from . <end>, <start> j ignore d ou il est venu . <end>,je ne sais pas ou il est venu . 
 <start> we talked for a while . <end>, <start> nous avons parle un moment . <end>,nous avons parle un moment . 
 <start> be sure to turn off the light when you leave the room . <end>, <start> assurez vous d eteindre la lumiere quand vous quittez la piece . <end>,assurez vous d eteindre la lumiere quand vous quitterez la piece . 
 <start> he remained silent the whole time . <end>, <start> il est reste silencieux tout le temps . <end>,il est reste silencieux tout le temps . 
 <start> close your eyes again . <end>, <start> ferme les yeux a nouveau . <end>,ferme les yeux a nouveau . 
 <start> the rainy season begins towards the end of june . <end>, <start> la saison des pluies commence vers fin juin . <end>,la saison des pluies commence vers fin juin . 
 <start> i m resilient . <end>, <start> je suis tenace . <end>,je suis tenace . 
 <start> this will do for the time being . <end>, <start> cela fera l affaire pour le moment . <end>,ca fera l affaire pour le moment . 
 <start> don t let them get you down . <end>, <start> ne les laissez pas vous abattre ! <end>,ne les laisse pas t abattre ! 
 <start> he meets his girlfriend on saturdays . <end>, <start> il rencontre sa petite amie le samedi . <end>,il rencontre sa petite amie le samedi . 
 <start> you are beautiful . <end>, <start> tu es belle . <end>,tu es belle . 
 <start> i got what you wanted . <end>, <start> j ai obtenu ce que vous vouliez . <end>,j ai obtenu ce que tu voulais . 
 <start> we are his children . <end>, <start> nous sommes ses enfants . <end>,nous sommes ses enfants . 
 <start> that bicycle is too small for you . <end>, <start> ce velo est trop petit pour vous . <end>,ce velo est trop petit pour toi . 
 <start> he didn t participate in the discussion . <end>, <start> il ne prit pas part a la discussion . <end>,il ne s est pas attendu a la discussion . 
 <start> where did you get the hat ? <end>, <start> ou avez vous eu le chapeau ? <end>,ou avez vous eu le chapeau ? 
 <start> i was pretty hard on tom . <end>, <start> j ai ete plutot dure avec tom . <end>,j etais assez dur avec tom . 
 <start> did you see a doctor ? <end>, <start> as tu vu un docteur ? <end>,avez vous vu un docteur ? 
 <start> i admit that i was careless . <end>, <start> j admets avoir ete negligente . <end>,j admets avoir ete negligente . 
 <start> i m saving money for my old age . <end>, <start> j economise pour ma vieillesse . <end>,je mets de l argent pour mon age . 
 <start> i wanted to talk to you about something . <end>, <start> je voulais te parler au sujet de quelque chose . <end>,je voulais m entretenir avec toi de quelque chose . 
 <start> this is the village where i was born . <end>, <start> c est le village ou je suis ne . <end>,c est le village ou je suis ne . 
 <start> she looked me in the eye . <end>, <start> elle m a regarde dans les yeux . <end>,elle m a regarde dans l il . 
 <start> is there a discount for students ? <end>, <start> y a t il une reduction pour les etudiants ? <end>,y a t il une reduction pour les etudiants ? 
 <start> we made it . <end>, <start> nous l avons fait . <end>,nous l avons fait . 
