Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> anybody can participate . <end>, <start> n importe qui peut participer . <end>,tout le monde peut participer . 
 <start> she has a strong dislike of insects . <end>, <start> elle deteste les insectes . <end>,elle deteste les insectes . 
 <start> my friend lives in the middle of nowhere . <end>, <start> mon ami vit au milieu de nulle part . <end>,mon ami vit au milieu du nulle part . 
 <start> who says it isn t fixed ? <end>, <start> qui nous dit que ce n est pas truque ? <end>,qui dit ce n est pas truque ? 
 <start> the museum has an exhibit of ancient weapons . <end>, <start> le musee presente une exposition d armes anciennes . <end>,le musee comporte une exposition d armes de fleurs . 
 <start> didn t you lock up your car ? <end>, <start> n avais tu pas verrouille ta voiture ? <end>,n avez vous pas ferme votre voiture ? 
 <start> i feel lost . <end>, <start> je me sens perdu . <end>,je me sens perdue . 
 <start> do you eat fish ? <end>, <start> mangez vous du poisson ? <end>,manges tu du poisson ? 
 <start> she betrayed you . <end>, <start> elle vous a trahis . <end>,elle vous a trahis . 
 <start> i ve told you a million times not to exaggerate . <end>, <start> je t ai dit un million de fois de ne pas exagerer . <end>,je t ai deja raconte un million de fois de ne pas exagerer . 
 <start> what did you expect me to do ? <end>, <start> que voulais tu que je fasse ? <end>,qu esperais tu que je fasse ? 
" <start> tom wasn t home , but mary was . <end>"," <start> tom n etait pas a la maison mais mary , si . <end>",tom n est pas a la maison mais mary etait . 
 <start> something s not right . <end>, <start> quelque chose cloche . <end>,quelque chose cloche . 
 <start> my friend tom has twice as many stamps as i do . <end>, <start> mon ami tom a deux fois plus de timbres que moi . <end>,mon ami que tom a deux fois plus de timbres que moi . 
 <start> that s it . i ve done everything i can . <end>, <start> c est tout . j ai fait tout ce que je pouvais . <end>,c est . j ai fait tout mon possible . 
 <start> what you did was wrong . <end>, <start> ce que tu as fait etait mal . <end>,ce que tu as fait etait mal . 
 <start> put the book where you found it . <end>, <start> repose le livre la ou tu l as trouve . <end>,mettez le livre la ou vous l avez trouve . 
 <start> are you unlucky ? <end>, <start> es tu malchanceux ? <end>,etes vous malchanceuse ? 
 <start> he wore glasses . <end>, <start> il portait des lunettes . <end>,il portait des lunettes . 
 <start> my sister showers every morning . <end>, <start> ma s ur se douche chaque matin . <end>,ma s ur se douche chaque matin . 
 <start> i m pleased to see you again . <end>, <start> je suis heureux de vous revoir . <end>,enchante de vous revoir . 
 <start> i finally gave up smoking . <end>, <start> j ai finalement arrete de fumer . <end>,j ai enfin arrete de fumer . 
 <start> my girlfriend is crying . <end>, <start> ma petite amie est en train de pleurer . <end>,ma copine est en train de pleurer . 
 <start> we sometimes go out for a drive . <end>, <start> nous sortons parfois faire un tour en voiture . <end>,nous sortons parfois faire un tour en voiture . 
 <start> that was a very sad story . <end>, <start> c etait une histoire fort triste . <end>,c etait une histoire tres triste . 
 <start> she braked hard when she saw a child run out into the road . <end>, <start> elle freina brutalement quand elle vit un enfant se precipiter sur la route . <end>,elle freina brutalement quand il vit un enfant . 
 <start> i knew this was a mistake . <end>, <start> je savais que c etait une erreur . <end>,je savais que c etait une erreur . 
 <start> tom had to spend a night in jail . <end>, <start> tom a du passer une nuit en prison . <end>,tom a du passer une nuit en prison . 
 <start> she couldn t convince him to go home . <end>, <start> elle n a pas pu le convaincre de rentrer chez lui . <end>,elle ne put le convaincre de rentrer a la maison . 
 <start> i will not let you do it . <end>, <start> je ne te le laisserai pas faire . <end>,je ne te laisserai pas le faire . 
 <start> i have enough money to buy it . <end>, <start> je dispose de suffisamment d argent pour l acquerir . <end>,j ai suffisamment d argent pour l acquerir . 
 <start> i m not surprised that tom did that . <end>, <start> je ne suis pas surprise que tom ait fait ca . <end>,je ne suis pas surprise que tom ait fait ca . 
 <start> it was broad daylight when i woke up . <end>, <start> il faisait grand jour quand je me suis reveille . <end>,il faisait grand jour quand je me suis reveille . 
 <start> call a doctor immediately . <end>, <start> appelle un medecin immediatement . <end>,appelle un medecin immediatement ! 
 <start> true friendship is priceless . <end>, <start> la veritable amitie est inappreciable . <end>,cette amitie est inappreciable . 
 <start> what do you usually do on mondays ? <end>, <start> que faites vous habituellement le lundi ? <end>,qu es tu habituellement le lundi ? 
 <start> he almost never went there . <end>, <start> il n y est presque jamais alle . <end>,il n y est pratiquement jamais alle . 
 <start> we picked apples so we could make an apple pie . <end>, <start> nous cueillimes des pommes de maniere a confectionner une tarte . <end>,nous cueillimes des pommes de maniere a confectionner une tarte aux pommes . 
 <start> all of the tree s leaves turned yellow . <end>, <start> toutes les feuilles de l arbre ont jauni . <end>,toutes les feuilles de l arbre sont devenues jaunes . 
 <start> it s a very complex system . <end>, <start> c est un systeme tres complexe . <end>,c est une systeme tres compliquee . 
 <start> tom is more famous than i am . <end>, <start> tom est plus celebre que je ne le suis . <end>,tom est plus celebre que moi . 
 <start> the door opened slowly . <end>, <start> la porte s ouvrit lentement . <end>,la porte s ouvrit lentement . 
" <start> when i was a child , i was spanked if i did something wrong . <end>"," <start> enfant , j etais fesse si je faisais quelque chose de mal . <end>","lorsque j etais petit , je recevais une fessee si j ai fait une betise . "
 <start> i ll come with you . <end>, <start> je viendrai avec toi . <end>,je viendrai avec toi . 
 <start> why was i the only one asking questions ? <end>, <start> pourquoi etais je le seul a poser des questions ? <end>,pourquoi etais je le seul en train de demander ? 
 <start> i usually go to school by bus . <end>," <start> habituellement , je vais a l ecole en bus . <end>",je vais generalement a l ecole en bus . 
 <start> my father doesn t drink hard liquor . <end>, <start> mon pere ne boit pas de digestifs . <end>,mon pere ne boit pas de digestifs . 
