Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> nobody suspected anything . <end>, <start> personne ne se douta de rien . <end>,personne ne se douta de rien . 
 <start> the strike affected the nation s economy . <end>, <start> la greve a nui a l economie nationale . <end>,la greve a affecte l economie nationale . 
 <start> has anyone seen tom ? <end>, <start> quelqu un a t il vu tom ? <end>,qui que ce soit a t il vu tom ? 
 <start> the mailman emptied the mailbox . <end>, <start> le postier vida la boite aux lettres . <end>,le postier vida la boite aux lettres . 
 <start> a good sweat will cure a cold . <end>, <start> une bonne suee guerira un rhume . <end>,une bonne suee guerira un froid . 
 <start> what exactly don t you get ? <end>," <start> qu est ce que tu ne piges pas , exactement ? <end>","qu est ce que tu ne captes pas , exactement ? "
 <start> do you feel like going swimming ? <end>, <start> as tu envie d aller nager ? <end>,avez vous envie d aller nager ? 
 <start> i haven t finished all my homework yet . <end>, <start> je n ai pas encore termine tous mes devoirs . <end>,je n ai pas encore termine tous mes devoirs . 
 <start> does the end justify the means ? <end>, <start> est ce que la fin justifie les moyens ? <end>,la fin justifie t elle les moyens ? 
 <start> i want to go somewhere on a trip . <end>, <start> j ai envie de partir en voyage . <end>,je veux partir en voyage . 
 <start> he works long hours . <end>, <start> il travaille de longues heures . <end>,il travaille de longues heures . 
 <start> don t talk about work . we re on vacation . <end>, <start> ne parle pas de travail . nous sommes en vacances . <end>,ne parle pas de travail ! nous sommes en vacances . 
 <start> tom disobeyed a direct order from a superior officer . <end>, <start> tom a conteste un ordre emanant d un superieur hierarchique . <end>,tom a conteste un ordre emanant d un superieur hierarchique . 
 <start> you were incompetent . <end>, <start> tu etais incompetent . <end>,tu etais incompetente . 
 <start> did tom talk to you about mary ? <end>, <start> tom vous a il parle de mary ? <end>,est ce que tom t a parle de mary ? 
 <start> i have to change clothes . <end>, <start> je dois changer de vetements . <end>,il me faut changer de vetements . 
 <start> i ve been given permission to inspect this equipment . <end>, <start> on m a autorise a inspecter cet equipement . <end>,on lui promit d accepter ce permis . 
 <start> tom said that mary was very unhappy . <end>, <start> tom a dit que mary etait tres malheureuse . <end>,tom a dit que mary etait tres malheureuse . 
 <start> nobody was home . <end>, <start> personne n etait chez nous . <end>,personne n etait chez moi . 
 <start> we want more money . <end>, <start> nous voulons davantage d argent . <end>,nous voulons davantage d argent . 
 <start> i am tired . <end>, <start> je suis fatigue ! <end>,je suis fatigue . 
 <start> i need you to stay here . <end>, <start> j ai besoin que vous restiez ici . <end>,j ai besoin que tu restes ici . 
 <start> tom found me a taxi . <end>, <start> tom m a trouve un taxi . <end>,tom m a trouve un taxi . 
 <start> a lot of people are waiting to see what is going to happen . <end>, <start> beaucoup de gens attendent de voir ce qui va survenir . <end>,beaucoup de gens attendent de voir ce qui va arriver . 
 <start> keep searching . <end>, <start> continuez a chercher . <end>,continuez a chercher . 
 <start> i fell down the stairs . <end>, <start> je suis tombee dans les escaliers . <end>,je suis tombee dans les escaliers . 
" <start> i m sorry , i really am . <end>"," <start> je suis desole , vraiment . <end>","je suis desole , je suis vraiment . "
 <start> he s got the biggest eyebrows i ve ever seen . <end>, <start> il a les plus gros sourcils que j ai jamais vus . <end>,il a les plus grandes plus de sourcils que j ai jamais vu . 
 <start> you have got to be kidding me . <end>, <start> vous devez etre en train de me charrier . <end>,vous devez plaisanter ! 
 <start> let s review the evidence . <end>, <start> passons en revue les elements de preuve . <end>,passons en revue les elements de preuve . 
 <start> you might have told me . <end>, <start> tu aurais pu me le dire . <end>,il se pourrait que vous me l ayez dit . 
" <start> in addition to this , there are other reasons . <end>"," <start> par la dessus , il y a d autres raisons . <end>","en plus de ceci , il y a d autres raisons . "
 <start> why are they so upset ? <end>, <start> pourquoi sont ils si enerves ? <end>,pourquoi sont elles si enervees ? 
 <start> she s six years older than me . <end>, <start> elle est six ans plus agee que moi . <end>,elle est six ans que moi . 
 <start> he is a fast runner . <end>, <start> c est un coureur rapide . <end>,c est un coureur rapide . 
 <start> don t they drive you mad ? <end>, <start> ne vous rendent elles pas fous ? <end>,ne vous rendent elles pas folle ? 
 <start> we love our customers . <end>, <start> nous adorons nos clients . <end>,nous adorons nos clients . 
 <start> we cannot live without air . <end>, <start> nous ne pouvons pas vivre sans air . <end>,nous ne pouvons vivre sans air . 
 <start> the leaves have turned red . <end>, <start> les feuilles sont devenues rouges . <end>,les feuilles virent au rouge . 
 <start> have you been up all night ? <end>, <start> as tu ete debout toute la nuit ? <end>,as tu passe toute la nuit ? 
 <start> that s very good news . <end>, <start> ce sont la d excellentes nouvelles . <end>,c est tres bonnes nouvelles . 
 <start> don t cross this bridge . <end>, <start> ne traverse pas ce pont . <end>,ne traversez pas ce pont . 
 <start> i don t have a fever . <end>, <start> je n ai pas de fievre . <end>,je n ai pas de fievre . 
" <start> while in london , he visited the british museum . <end>"," <start> pendant qu il sejournait a londres , il visita le british museum . <end>","en londres , il visita le british museum . "
 <start> why am i still alive ? <end>, <start> pourquoi suis je toujours en vie ? <end>,pourquoi suis je encore en vie ? 
 <start> bad weather kept us from going out . <end>, <start> le mauvais temps nous a empechees de sortir . <end>,le mauvais temps nous empecha de sortir . 
 <start> i m calling the cops . <end>, <start> j appelle les flics . <end>,j appelle les flics . 
 <start> you must not give up . <end>, <start> il ne faut pas que vous abandonniez . <end>,vous ne devez pas abandonner . 
 <start> i ll give you a present . <end>, <start> je te donnerai un cadeau . <end>,je te donnerai un cadeau . 
 <start> a lot of fish perished . <end>, <start> de nombreux poissons sont morts . <end>,beaucoup de poissons ont peri . 
 <start> i eat because i m hungry . <end>, <start> je mange parce que j ai faim . <end>,je mange parce que j ai faim . 
 <start> the earth s moon is a natural satellite . <end>, <start> la lune de la terre est un satellite naturel . <end>,la lune de la terre est un satellite naturel . 
" <start> if he d known the truth , he d have told me . <end>"," <start> s il avait connu la verite , il me l aurait dite . <end>","s il avait connu la verite , il me l aurait dite . "
 <start> you crossed the line . <end>, <start> tu as franchi la ligne . <end>,vous avez franchi la ligne . 
 <start> space travel is dangerous . <end>, <start> les voyages spatiaux sont dangereux . <end>,voyages spatiaux est dangereux . 
 <start> your chinese is awesome already . <end>," <start> ton chinois est super , deja . <end>",votre chinois est deja genial . 
 <start> you and i are the same age . <end>, <start> vous et moi sommes du meme age . <end>,toi et moi sommes pareils . 
 <start> we have to respect local customs . <end>, <start> nous devons respecter les coutumes locales . <end>,nous devons respecter les coutumes locales . 
 <start> i ve been feeling this way all day . <end>, <start> je me suis senti comme ca toute la journee . <end>,je me suis senti ainsi toute la journee . 
 <start> i just need a hug . <end>, <start> j ai juste besoin d un calin . <end>,j ai juste besoin d un calin . 
 <start> her office is on the other side of the street . <end>, <start> son bureau est de l autre cote de la rue . <end>,son bureau est de l autre cote de la rue . 
 <start> i got together with her mainly because we seemed to share the same feelings about things . <end>, <start> je me suis mis avec elle principalement pour la raison qu on semblait partager les memes sentiments sur la vie . <end>,je suis parti avec elle principalement parce qu on semblait partager les memes sentiments sur la vie allumee . 
 <start> he does not care for any sport involving team work or quick responses to other players . <end>, <start> il n a pas d interet pour quelque sport impliquant un travail d equipe ou des reponses rapides a d autres joueurs . <end>,il ne s interesse pas d un travail d equipe ou des reponses avec des reponses a part . 
 <start> i m in no hurry . <end>, <start> je ne suis pas presse . <end>,je ne suis pas pressee . 
 <start> their work seems good to me . <end>, <start> leur travail me semble bon . <end>,leur travail me convient . 
 <start> i need evidence . <end>, <start> il me faut des preuves . <end>,il me faut des preuves . 
 <start> he s a construction worker . <end>, <start> il est employe dans le batiment . <end>,c est un travailleur du batiment . 
 <start> that ll put you in danger . <end>, <start> cela te mettra en danger . <end>,ca te mettra en danger . 
 <start> i ve already read this book . <end>, <start> j ai deja lu ce livre . <end>,j ai deja lu ce livre . 
 <start> what s wrong with you ? <end>, <start> c est quoi ton probleme ? <end>,qu est ce qui ne va pas avec toi ? 
 <start> tom brought a blanket . <end>, <start> tom a apporte une couverture . <end>,tom a apporte une couverture . 
 <start> the hero finally defeated the evil scientist . <end>, <start> le heros vainquit finalement le mechant scientifique . <end>,le heros vainquit finalement le mechant scientifique . 
 <start> it looks like your dog is thirsty . <end>, <start> ton chien semble avoir soif . <end>,on dirait ton chien a soif . 
 <start> do you play tennis ? <end>, <start> tu joues au tennis ? <end>,jouez vous au tennis ? 
 <start> he doesn t know me . <end>, <start> il ne me connait pas . <end>,il ne me connait pas . 
" <start> i m fairly busy , actually . <end>"," <start> je suis assez occupe , en realite . <end>","je suis plutot occupee , en verite . "
 <start> i never thought i would have to support such a large family . <end>, <start> je n aurais jamais pense que j aurais a entretenir une famille aussi grande . <end>,je n ai jamais pense que je devrais entretenir une famille pareille . 
 <start> i dropped my keys . <end>, <start> j ai fait tomber mes cles . <end>,j ai laisse mes cles . 
 <start> i really don t have anything else to say . <end>, <start> je n ai vraiment rien a dire d autre . <end>,je n ai vraiment rien d autre a dire . 
 <start> i don t know anything about the future . <end>, <start> je ne sais rien du futur . <end>,je ne connais rien du futur . 
 <start> i m certain that he ll come . <end>, <start> je suis sur qu il viendra . <end>,je suis certaine qu il viendra . 
 <start> i am reading a book about animals . <end>, <start> je lis un livre sur les animaux . <end>,je lis un livre sur les animaux . 
 <start> the boy feared the dark . <end>, <start> le garcon avait peur des tenebres . <end>,le garcon avait peur du noir . 
 <start> i wish i had known how to do it . <end>, <start> j aurais voulu savoir comment le faire . <end>,j aurais voulu savoir comment le faire . 
 <start> i thought you wouldn t like it . <end>, <start> je pensais que tu n aimerais pas . <end>,je pensais que tu n aimerais pas ca . 
 <start> sometimes we lie to keep from hurting someone else s feelings . <end>, <start> on ment parfois pour ne pas blesser l autre . <end>,on ment parfois pour ne pas avoir de l autre . 
