Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> i love fried bananas . <end>, <start> j adore les bananes frites . <end>,j adore les bananes frites . 
 <start> i want to be alone for a while . <end>, <start> je veux etre seule un moment . <end>,je veux etre seul un moment . 
 <start> i could never do that sort of thing . <end>, <start> ce genre de chose ne m etait encore jamais arrive . <end>,je ne pourrais jamais faire ce type de chose . 
 <start> i was offered the choice of tea or coffee . <end>, <start> on m a propose le choix entre un the et un cafe . <end>,on m a propose le choix entre un cafe . 
 <start> are you at home ? <end>, <start> tu es chez toi ? <end>,etes vous chez vous ? 
 <start> my friend helped me . <end>, <start> mon amie m aida . <end>,mon ami m a aidee . 
 <start> i can t find tom anywhere . <end>, <start> je ne trouve tom nulle part . <end>,je ne peux trouver tom nulle part . 
 <start> you re bad . <end>, <start> tu es vilain . <end>,tu es vilain . 
 <start> i d like to eat something . <end>, <start> je voudrais manger quelque chose . <end>,j aimerais manger quelque chose . 
 <start> i picked the lock . <end>, <start> j ai crochete la serrure . <end>,j ai crochete la serrure . 
 <start> we re kind of busy here . <end>," <start> nous sommes plutot occupees , ici . <end>","nous sommes plutot occupees , ici . "
 <start> this game is so hard . <end>, <start> ce jeu est tellement difficile . <end>,cette manche est si difficile . 
 <start> i d like to talk to tom myself . <end>, <start> j aimerais parler a tom moi meme . <end>,j aimerais m entretenir avec tom personne . 
 <start> how will you pay your debts ? <end>, <start> comment payerez vous vos dettes ? <end>,comment payerez vous tes dettes ? 
 <start> i m too old to go to germany . <end>, <start> je suis trop vieux pour aller en allemagne . <end>,je suis trop vieux pour aller en allemagne . 
 <start> you re a wonderful friend . <end>, <start> vous etes un merveilleux ami . <end>,tu es un merveilleux ami . 
 <start> can you take tom to the airport ? <end>, <start> peux tu emmener tom a l aeroport ? <end>,peux tu emmener tom a l aeroport ? 
 <start> i lived in sanda city last year . <end>, <start> l annee derniere je vivais a sanda city . <end>,j ai vecu a ma ville l annee derniere . 
 <start> tom is probably with mary . <end>, <start> tom est probablement avec mary . <end>,tom est probablement avec mary . 
 <start> this book is too expensive . <end>, <start> ce livre est trop cher . <end>,ce livre est trop cher . 
 <start> a bird in the hand is better than two in the bush . <end>, <start> un tiens vaut mieux que deux tu l auras . <end>,un oiseau est meilleur que deux dans les airs . 
 <start> i always thought this would be the right thing to do . <end>, <start> j ai toujours pense que c etait la bonne chose a faire . <end>,j ai toujours pense que ca serait la bonne chose a faire . 
 <start> it rained for three days on end . <end>, <start> il a plu trois jours de rang . <end>,il a plu pendant trois jours consecutifs . 
 <start> i want to kiss you . <end>, <start> je veux vous embrasser . <end>,je veux vous embrasser . 
 <start> i don t get out much . <end>, <start> je ne sors pas beaucoup . <end>,je ne sors pas beaucoup . 
 <start> they won t make it . <end>, <start> elles n y parviendront pas . <end>,ils ne vont pas y arriver . 
 <start> he touched my shoulder . <end>, <start> il a touche mon epaule . <end>,il m a touche mon epaule . 
 <start> trust me on that . <end>, <start> croyez en moi ! <end>,croyez en moi ! 
" <start> tom was pacing back and forth in the parking lot , waiting for mary . <end>"," <start> tom faisait les cents pas , en attendant marie . <end>",tom faisait les cent pas en attendant marie pour marie . 
 <start> whip the egg whites until they are stiff . <end>, <start> battez les blancs d ufs en neige . <end>,les pommes de ufs se sont vendus . 
 <start> tom said he d like to have another cup of coffee . <end>, <start> tom a dit qu il aimerait une autre tasse de cafe . <end>,tom a dit qu il aimerait une autre tasse de cafe . 
 <start> are you afraid of death ? <end>, <start> as tu peur de la mort ? <end>,avez vous peur de la mort ? 
 <start> encryption technology has advanced to the point where it s pretty reliable . <end>, <start> les technologies de chiffrement ont avance au point d etre plutot fiables . <end>,les technologies de chiffrement ont avance jusqu a la recherche plutot fiables . 
 <start> it s about time . <end>, <start> il est grand temps . <end>,il est temps ! 
 <start> tom s diabetic . <end>, <start> tom est diabetique . <end>,tom est diabetique . 
 <start> can you do it in one day ? <end>, <start> pouvez vous le faire en une journee ? <end>,peux tu le faire en une journee ? 
 <start> we still don t know the truth . <end>, <start> nous ne savons toujours pas la verite . <end>,nous ne savons encore pas la verite . 
 <start> we ll use the house as collateral so we can borrow some money . <end>, <start> nous allons mettre la maison en gage de maniere a pouvoir emprunter un peu d argent . <end>,nous allons utiliser la maison de maniere a pouvoir emprunter un peu d argent . 
 <start> does he like china ? <end>, <start> apprecie t il la chine ? <end>,court il la chine ? 
 <start> i m from turkey . <end>, <start> je viens de turquie . <end>,je viens de turquie . 
 <start> her beauty cast a spell over him . <end>, <start> sa beaute le charma . <end>,sa beaute le charma . 
 <start> a monument was erected in memory of the deceased . <end>, <start> un monument a ete erige a la memoire des defunts . <end>,un monument a ete erige a memoire des defunts . 
 <start> did i hear you right ? <end>, <start> vous ai je bien entendus ? <end>,vous ai je bien entendues ? 
 <start> i haven t seen you in a long time . <end>, <start> je ne vous ai pas vue depuis longtemps . <end>,je ne vous ai pas vus depuis longtemps . 
 <start> i want you to tell tom that i love him . <end>, <start> je veux que tu dises a tom que je l aime . <end>,je veux que tu dises a tom que je l aime . 
 <start> i captured butterflies with a net . <end>, <start> j ai attrape des papillons avec un filet . <end>,j ai attrape des papillons avec un filet . 
 <start> don t give him any ideas . <end>, <start> ne lui donne pas d idees ! <end>,ne lui donne pas d idees ! 
 <start> i opened the door and saw two boys standing side by side . <end>, <start> j ai ouvert la porte et j ai vu deux garcons debout l un a cote de l autre . <end>,j ai ouvert la porte et j ai de deux garcons devant le cote . 
 <start> everything comes to those who wait . <end>, <start> tout vient a point a qui sait attendre . <end>,tout vient a ceux qui attend . 
 <start> how many concerts did you go to last year ? <end>, <start> a combien de concerts t es tu rendu l annee passee ? <end>,a combien de concerts t es tu rendu pour l annee passee ? 
 <start> what s your favorite color for carpets ? <end>, <start> quelle est ta couleur de tapis preferee ? <end>,quelle est ta couleur de tapis preferee ? 
 <start> i thought i was alone . <end>, <start> je pensais que j etais seul . <end>,je pensais etre seul . 
 <start> tom is just trying to make ends meets . <end>, <start> tom essaie juste de joindre les deux bouts . <end>,tom essaie juste de joindre les deux bouts . 
 <start> wait until your father gets home . <end>, <start> attendez que votre pere rentre a la maison . <end>,attends que ton pere rentre a la maison . 
 <start> tom doesn t get up as early as mary . <end>, <start> tom ne se leve pas aussi tot que marie . <end>,tom ne se leve pas aussi tot que marie . 
 <start> this was bound to happen sooner or later . <end>, <start> cela devait arriver tot ou tard . <end>,ca devait se produire tot ou tard . 
 <start> there are some good apples in the basket . <end>, <start> il y a de bonnes pommes a l interieur du panier . <end>,il y a de bonnes pommes dans le panier . 
 <start> someone tried to kill me . <end>, <start> quelqu un a essaye de me tuer . <end>,quelqu un a tente de me tuer . 
 <start> does tom sing well ? <end>, <start> est ce que tom chante bien ? <end>,est ce que tom chante bien ? 
 <start> tom didn t go to boston . <end>, <start> tom n est pas alle a boston . <end>,tom n est pas alle a boston . 
 <start> are you ready for the next problem ? <end>, <start> etes vous pretes pour le prochain probleme ? <end>,es tu prete pour le prochain probleme ? 
 <start> tom had a difficult job . <end>, <start> tom a eu un travail difficile . <end>,tom a eu un travail difficile . 
 <start> can you understand the meaning of this paragraph ? <end>, <start> peux tu comprendre le sens de ce paragraphe ? <end>,peux tu comprendre le sens de ce paragraphe ? 
 <start> aren t you too young to smoke ? <end>, <start> n etes vous pas trop jeune pour fumer ? <end>,n etes vous pas trop jeune pour fumer ? 
 <start> who designed the white house ? <end>, <start> qui a concu la maison blanche ? <end>,qui a concu la maison blanche ? 
